,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
5083,6485,Navoi Airport,Navoi,Uzbekistan,NVI,UTSA,40.1171989440918,65.17079925537111,0,5,E,Asia/Samarkand,airport,OurAirports
5086,6492,Ain Arnat Airport,Setif,Algeria,QSF,DAAS,36.178100585900005,5.32449007034,3360,1,U,Africa/Algiers,airport,OurAirports
5087,6493,La Rochelle-Île de Ré Airport,La Rochelle,France,LRH,LFBH,46.17919921875,-1.1952799558639526,74,1,E,Europe/Paris,airport,OurAirports
5092,6505,Phoenix-Mesa-Gateway Airport,Mesa,United States,AZA,KIWA,33.30780029,-111.65499879999999,1382,-7,N,America/Phoenix,airport,OurAirports
5098,6712,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP,PAKP,68.13359833,-151.7429962,2102,-9,A,America/Anchorage,airport,OurAirports
5099,6713,Anvik Airport,Anvik,United States,ANV,PANV,62.646702000000005,-160.190994,291,-9,A,America/Anchorage,airport,OurAirports
5100,6714,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,ATK,PATQ,70.46730041503906,-157.43600463867188,96,-9,A,America/Anchorage,airport,OurAirports
5101,6715,Gambell Airport,Gambell,United States,GAM,PAGM,63.76679992675781,-171.73300170898438,27,-9,A,America/Anchorage,airport,OurAirports
5102,6716,Hooper Bay Airport,Hooper Bay,United States,HPB,PAHP,61.52389908,-166.1470032,13,-9,A,America/Anchorage,airport,OurAirports
5103,6717,Kaltag Airport,Kaltag,United States,KAL,PAKV,64.31909943,-158.74099730000003,181,-9,A,America/Anchorage,airport,OurAirports
5104,6718,St Mary's Airport,St Mary's,United States,KSM,PASM,62.0605011,-163.30200200000002,312,-9,A,America/Anchorage,airport,OurAirports
5105,6719,Kivalina Airport,Kivalina,United States,KVL,PAVL,67.73619842529297,-164.56300354003906,13,-9,A,America/Anchorage,airport,OurAirports
5106,6720,Mekoryuk Airport,Mekoryuk,United States,MYU,PAMY,60.37139892578125,-166.27099609375,48,-9,A,America/Anchorage,airport,OurAirports
5107,6722,Ruby Airport,Ruby,United States,RBY,PARY,64.72720337,-155.47000119999998,658,-9,A,America/Anchorage,airport,OurAirports
5108,6723,Shishmaref Airport,Shishmaref,United States,SHH,PASH,66.249604,-166.089112,12,-9,A,America/Anchorage,airport,OurAirports
5109,6724,Savoonga Airport,Savoonga,United States,SVA,PASA,63.6864013671875,-170.4929962158203,53,-9,A,America/Anchorage,airport,OurAirports
